Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
9767125;Flat em COPACABANA 2 Quartos 2 banheiros Garagem;50358652;Copacabana;Entire home/apt;238;2;49;2020-03-28;0.91;1;121;2020-06-19;Rio-de-janeiro;Brazil;-22.967763183723612, -43.18518981980891;Brazil, Rio-de-janeiro, Copacabana
10351431;Apartamento Confortável Perto da Lapa;49656132;Centro;Entire home/apt;79;3;41;2020-04-30;0.76;2;341;2020-06-19;Rio-de-janeiro;Brazil;-22.916267589891692, -43.18890166787335;Brazil, Rio-de-janeiro, Centro
7153151;FITTASI Bilocale indipendente fiera;3778330;Bari;Entire home/apt;60;2;4;2019-11-07;0.07;2;364;2020-06-25;Puglia;Italy;41.1301206529357, 16.83339879752685;Italy, Puglia, Bari
7718756;Bilocale in pineta vista mare;4860450;Vieste;Entire home/apt;62;7;3;2017-01-16;0.05;3;1;2020-06-25;Puglia;Italy;41.89053939276019, 16.159764729665486;Italy, Puglia, Vieste
8656906;CASA VACANZA Il Trullo Degli Aranci;45492324;Ostuni;Entire home/apt;80;2;0;;;1;355;2020-06-25;Puglia;Italy;40.73024681951227, 17.585279162606575;Italy, Puglia, Ostuni
12162795;App Oleander in Villa Giorgisa, Torre San Giovanni;30816941;Ugento;Entire home/apt;60;4;2;2017-08-28;0.06;4;175;2020-06-25;Puglia;Italy;39.88784502270577, 18.1474653400965;Italy, Puglia, Ugento
12578640;Bilo 5;47968666;Uggiano la Chiesa;Entire home/apt;70;3;2;2018-08-24;0.09;3;0;2020-06-25;Puglia;Italy;40.10115388535455, 18.458294780371304;Italy, Puglia, Uggiano la Chiesa
18151681;Appartamento tipico salentino;35353033;Corigliano d'Otranto;Entire home/apt;30;2;2;2017-08-17;0.06;3;0;2020-06-25;Puglia;Italy;40.16244230234828, 18.258477880022213;Italy, Puglia, Corigliano d'Otranto
20073712;casa foresta forte;142154045;Castrignano del Capo;Entire home/apt;60;2;3;2019-08-09;0.09;1;365;2020-06-25;Puglia;Italy;39.795924236070796, 18.369215335108166;Italy, Puglia, Castrignano del Capo
32632323;Stylish & Elegant room TWIN BEDS next to Champs Elysees;244502597;Passy;Hotel room;125;1;0;;;6;365;2020-06-11;Paris;France;48.87316677265558, 2.290638240123063;France, Paris, Passy
33967902;Studio near notre-dame , louvre . Rivoli Avenue;256488461;Louvre;Entire home/apt;84;2;4;2019-09-02;0.29;1;176;2020-06-11;Paris;France;48.86064953135642, 2.3474671336818718;France, Paris, Louvre
13989276;IPANEMA ! EXCELENTE LOCAL!300 METROS PRAIA;71869324;Ipanema;Entire home/apt;699;4;3;2018-02-15;0.07;1;0;2020-06-19;Rio-de-janeiro;Brazil;-22.98523609193245, -43.21138439191893;Brazil, Rio-de-janeiro, Ipanema
14186081;Excelente Cobertura Duplex - MARACANÃ E FÉRIAS;85976617;Vila Isabel;Entire home/apt;262;2;11;2020-02-15;0.51;1;80;2020-06-19;Rio-de-janeiro;Brazil;-22.914112714358303, -43.242849110853875;Brazil, Rio-de-janeiro, Vila Isabel
31300839;Spacious 2Bdroom aprtment in an excellent lcation!;234271210;Sydney;Entire home/apt;229;1;42;2020-05-03;2.42;1;31;2020-06-11;Sydney;Australia;-33.880132136109054, 151.20071186023392;Australia, Sydney, Sydney
32582902;Bedroom in Cosy modern house;2460577;Burwood;Private room;100;2;2;2019-03-24;0.13;2;0;2020-06-11;Sydney;Australia;-33.89511423926008, 151.09506518418118;Australia, Sydney, Burwood
33499599;CHARMING HARBOURSIDE ONE BEDROOM APARTMENT;150011035;Manly;Entire home/apt;130;2;1;2019-04-20;0.07;2;0;2020-06-11;Sydney;Australia;-33.79723438334822, 151.28074214247306;Australia, Sydney, Manly
33639956;Clean and tidy house with a large backyard n pool;137946250;Sutherland Shire;Entire home/apt;114;6;1;2019-04-09;0.07;1;0;2020-06-11;Sydney;Australia;-34.01681316059023, 151.1079414755081;Australia, Sydney, Sutherland Shire
32742697;Peaceful & Bohemian Studio for the Couple;58445210;Östermalms;Entire home/apt;729;3;12;2019-08-18;0.77;1;0;2020-06-26;Stockholm;Sweden;59.34508362585541, 18.092051070979526;Sweden, Stockholm, Östermalms
255090;Your Own Private Studio Apartment;1340540;Woollahra;Entire home/apt;104;10;17;2019-09-07;0.17;1;122;2020-06-11;Sydney;Australia;-33.87646549719506, 151.2332015618528;Australia, Sydney, Woollahra
365953;En suite room in gorgeous house!;1827246;Mosman;Private room;145;5;6;2017-01-14;0.12;1;358;2020-06-11;Sydney;Australia;-33.82350457578414, 151.23779739945417;Australia, Sydney, Mosman
815654;Fabulous & Spacious Bondi Beach pad;4285221;Waverley;Entire home/apt;195;3;0;;;1;0;2020-06-11;Sydney;Australia;-33.88476257154144, 151.27304355473578;Australia, Sydney, Waverley
1211285;Bondi Apartment with Stunning Views;5808427;Waverley;Entire home/apt;170;4;12;2019-01-01;0.14;1;174;2020-06-11;Sydney;Australia;-33.89396638327046, 151.25670783254373;Australia, Sydney, Waverley
1394990;Modern 2 bed /  2 bathroom apartment;7539151;Sydney;Entire home/apt;350;4;30;2018-04-02;0.36;1;268;2020-06-11;Sydney;Australia;-33.87329170971428, 151.21834688688966;Australia, Sydney, Sydney
1422890;Single room in cosy home,fab views,great location!;4072802;Randwick;Private room;83;2;61;2020-03-05;0.75;2;179;2020-06-11;Sydney;Australia;-33.90404790632098, 151.2230332946565;Australia, Sydney, Randwick
2938059;Modern 1br Apartment in Surry Hills;15002405;Sydney;Entire home/apt;130;2;47;2018-03-05;0.64;1;0;2020-06-11;Sydney;Australia;-33.89749222474038, 151.21787889770667;Australia, Sydney, Sydney
3777675;North Shore Sydney;14622809;Ku-Ring-Gai;Entire home/apt;501;7;2;2019-01-02;0.07;1;0;2020-06-11;Sydney;Australia;-33.712309658720685, 151.17283150833958;Australia, Sydney, Ku-Ring-Gai
4739144;Newly Renovated x2 Bed Apartment;24465935;Randwick;Private room;70;7;2;2016-01-05;0.03;2;0;2020-06-11;Sydney;Australia;-33.91460879365729, 151.24728693795052;Australia, Sydney, Randwick
5740580;Surry Hills Apartment;7079467;Sydney;Entire home/apt;150;3;3;2015-11-17;0.05;1;0;2020-06-11;Sydney;Australia;-33.886711898894276, 151.20890924835197;Australia, Sydney, Sydney
7331396;Stylish Family Home in Randwick;707197;Randwick;Entire home/apt;270;30;3;2017-02-27;0.07;1;173;2020-06-11;Sydney;Australia;-33.90585613036266, 151.25219541393196;Australia, Sydney, Randwick
7718248;4BR family home nr beaches and park;40553892;Randwick;Entire home/apt;495;5;3;2016-07-29;0.05;1;0;2020-06-11;Sydney;Australia;-33.91039029773974, 151.24983376215297;Australia, Sydney, Randwick
7889373;Sydney Harbour Home 5 mins to Bondi;41594647;Woollahra;Entire home/apt;799;10;3;2017-01-11;0.06;1;0;2020-06-11;Sydney;Australia;-33.866094815279006, 151.27482247573917;Australia, Sydney, Woollahra
8212833;Designer Bondi Beach House;43307495;Waverley;Entire home/apt;850;7;2;2016-01-02;0.04;1;0;2020-06-11;Sydney;Australia;-33.883183094164565, 151.27574298841313;Australia, Sydney, Waverley
8371981;Professional Clean Top Floor 1bd (Best Location);2377948;Sydney;Entire home/apt;134;1;78;2020-03-15;2.34;1;0;2020-06-11;Sydney;Australia;-33.88879061679429, 151.19696449922878;Australia, Sydney, Sydney
9134559;BONDI Bennett St-hosted by:L'Abode;7409213;Waverley;Entire home/apt;375;4;5;2018-01-16;0.09;149;1;2020-06-11;Sydney;Australia;-33.89654320668087, 151.2588130215931;Australia, Sydney, Waverley
9397536;Lovely inner city apt (cats inc.);41727594;Sydney;Entire home/apt;94;21;3;2016-09-30;0.06;1;0;2020-06-11;Sydney;Australia;-33.87960387389272, 151.22042532784144;Australia, Sydney, Sydney
9614394;The BEST location in Sydney. 1 stop from city cntr;49379718;Sydney;Entire home/apt;170;10;0;;;1;363;2020-06-11;Sydney;Australia;-33.874271238361565, 151.22229662066212;Australia, Sydney, Sydney
9799847;3 bed home - Sydney's city fringe;50500185;Sydney;Entire home/apt;285;5;5;2016-11-16;0.09;1;0;2020-06-11;Sydney;Australia;-33.87879715170948, 151.1838913991724;Australia, Sydney, Sydney
10157786;Room with Balcony 100m from DYBeach;21195630;Warringah;Private room;70;2;1;2016-01-06;0.02;1;0;2020-06-11;Sydney;Australia;-33.754865242157614, 151.29778728003072;Australia, Sydney, Warringah
10299907;Spacious room in a sunlit apartment;52994567;Sydney;Private room;80;1;1;2016-01-27;0.02;1;0;2020-06-11;Sydney;Australia;-33.87182806607238, 151.22591830572316;Australia, Sydney, Sydney
11417934;Perfect location, luxurious living;59957198;Woollahra;Private room;166;7;0;;;1;91;2020-06-11;Sydney;Australia;-33.88905771986161, 151.24699926818587;Australia, Sydney, Woollahra
25279360;Letna luxury apartment;111924294;Praha 7;Entire home/apt;1310;2;50;2020-03-02;1.97;2;199;2020-06-28;Prague;Czech republic;50.101384196696245, 14.427774396134321;Czech republic, Prague, Praha 7
34501525;A peaceful setting in the heart of Paris;260334353;Opéra;Private room;160;1;2;2019-11-01;0.25;5;211;2020-06-11;Paris;France;48.87401841865462, 2.3428397102019294;France, Paris, Opéra
35107061;Charming apartment near Montmartre  - Professional Cleaning;264440173;Buttes-Montmartre;Entire home/apt;71;1;10;2019-12-27;0.83;1;0;2020-06-11;Paris;France;48.88509431600731, 2.3367455507906882;France, Paris, Buttes-Montmartre
35135572;Charmant appartement dans le 18eme;5004944;Buttes-Montmartre;Entire home/apt;60;1;1;2019-06-02;0.08;1;0;2020-06-11;Paris;France;48.8943869290306, 2.346625689644905;France, Paris, Buttes-Montmartre
21208776;Magnifique chambre Rive Gauche/Sorbonne;2876127;Panthéon;Private room;70;3;17;2020-01-31;0.52;6;365;2020-06-11;Paris;France;48.83778553390922, 2.3498041573763686;France, Paris, Panthéon
21917432;Chambre dans une colocation;58965680;Buttes-Chaumont;Entire home/apt;35;2;1;2017-12-03;0.03;3;0;2020-06-11;Paris;France;48.88452715530703, 2.3690476674268934;France, Paris, Buttes-Chaumont
22408704;Amazing studio facing Montparnasse station;2974635;Vaugirard;Entire home/apt;90;3;0;;;1;0;2020-06-11;Paris;France;48.84149450423213, 2.317391108341932;France, Paris, Vaugirard
23624931;Super Loft dans le 11eme;51303952;Popincourt;Entire home/apt;80;7;0;;;1;0;2020-06-11;Paris;France;48.8640914632086, 2.3726168894940867;France, Paris, Popincourt
